order_id,customer_id,order_date,shipping_date,delivery_date,order_status,total_amount,load_date,record_source
O100045,9777,2024-03-15,2024-03-16,2024-03-19,CANCELLED,265.54,2024-03-01,E2E-order-header
O100046,4586,2024-03-15,2024-03-18,2024-03-22,DELIVERED,1421.93,2024-03-01,E2E-order-header
O100047,5452,2024-03-23,2024-03-26,2024-03-27,SHIPPED,1367.67,2024-03-01,E2E-order-header
O100048,326,2024-03-17,2024-03-18,2024-03-22,DELIVERED,714.05,2024-03-01,E2E-order-header
O100049,1491,2024-03-04,2024-03-05,2024-03-07,CANCELLED,75.73,2024-03-01,E2E-order-header
O100050,4136,2024-03-02,2024-03-03,2024-03-04,SHIPPED,1591.73,2024-03-01,E2E-order-header
O100051,2336,2024-03-01,2024-03-03,2024-03-06,DELIVERED,1083.48,2024-03-01,E2E-order-header
O100052,1430,2024-03-16,2024-03-18,2024-03-23,SHIPPED,1655.08,2024-03-01,E2E-order-header
O100053,4859,2024-03-23,2024-03-24,2024-03-27,DELIVERED,1872.81,2024-03-01,E2E-order-header
O100054,7197,2024-03-25,2024-03-28,2024-03-29,SHIPPED,651.1,2024-03-01,E2E-order-header
O100055,3345,2024-03-17,2024-03-20,2024-03-21,SHIPPED,141.07,2024-03-01,E2E-order-header
O100056,4216,2024-03-20,2024-03-22,2024-03-24,DELIVERED,2321.02,2024-03-01,E2E-order-header
O100057,7445,2024-03-04,2024-03-06,2024-03-10,NEW,1562.18,2024-03-01,E2E-order-header
O100058,555,2024-03-25,2024-03-26,2024-03-30,CANCELLED,1815.65,2024-03-01,E2E-order-header
O100059,5807,2024-03-09,2024-03-12,2024-03-17,CANCELLED,915.24,2024-03-01,E2E-order-header
O100060,5093,2024-03-08,2024-03-09,2024-03-12,DELIVERED,978.15,2024-03-01,E2E-order-header
O100061,6157,2024-03-28,2024-03-31,2024-04-02,CANCELLED,1093.62,2024-03-01,E2E-order-header
O100062,684,2024-03-21,2024-03-22,2024-03-27,CANCELLED,1710.04,2024-03-01,E2E-order-header
O100063,3915,2024-03-01,2024-03-04,2024-03-07,SHIPPED,1586.04,2024-03-01,E2E-order-header
O100064,8466,2024-03-22,2024-03-24,2024-03-27,SHIPPED,1757.17,2024-03-01,E2E-order-header
O100065,3840,2024-03-14,2024-03-16,2024-03-18,NEW,411.26,2024-03-01,E2E-order-header
O100066,7671,2024-03-04,2024-03-07,2024-03-11,SHIPPED,90.97,2024-03-01,E2E-order-header
O100067,7100,2024-03-10,2024-03-11,2024-03-14,DELIVERED,2399.75,2024-03-01,E2E-order-header
O100068,5971,2024-03-07,2024-03-09,2024-03-12,DELIVERED,1856.4,2024-03-01,E2E-order-header
O100069,4597,2024-03-02,2024-03-05,2024-03-06,SHIPPED,2146.52,2024-03-01,E2E-order-header
O100070,583,2024-03-20,2024-03-23,2024-03-28,SHIPPED,1823.58,2024-03-01,E2E-order-header
O100071,919,2024-03-24,2024-03-26,2024-03-31,NEW,47.73,2024-03-01,E2E-order-header
O100072,3942,2024-03-14,2024-03-17,2024-03-21,NEW,1519.31,2024-03-01,E2E-order-header
O100073,4450,2024-03-19,2024-03-22,2024-03-24,SHIPPED,1387.39,2024-03-01,E2E-order-header
O100074,5783,2024-03-28,2024-03-31,2024-04-01,NEW,1083.21,2024-03-01,E2E-order-header
O100075,5176,2024-03-05,2024-03-06,2024-03-11,NEW,2022.28,2024-03-01,E2E-order-header
O100076,7045,2024-03-11,2024-03-12,2024-03-14,CANCELLED,1419.8,2024-03-01,E2E-order-header
O100077,2512,2024-03-14,2024-03-17,2024-03-21,SHIPPED,1472.56,2024-03-01,E2E-order-header
O100078,7350,2024-03-03,2024-03-04,2024-03-09,DELIVERED,2480.41,2024-03-01,E2E-order-header
O100079,2166,2024-03-13,2024-03-15,2024-03-20,NEW,2108.98,2024-03-01,E2E-order-header
O100080,10016,2024-03-08,2024-03-10,2024-03-13,SHIPPED,1473.94,2024-03-01,E2E-order-header
O100081,506,2024-03-25,2024-03-27,2024-03-29,CANCELLED,1522.01,2024-03-01,E2E-order-header
O100082,8236,2024-03-19,2024-03-22,2024-03-27,SHIPPED,1005.32,2024-03-01,E2E-order-header
O100083,2956,2024-03-21,2024-03-24,2024-03-25,CANCELLED,2256.02,2024-03-01,E2E-order-header
O100084,1856,2024-03-04,2024-03-05,2024-03-08,NEW,1266.54,2024-03-01,E2E-order-header
O100085,4109,2024-03-09,2024-03-10,2024-03-11,CANCELLED,2139.81,2024-03-01,E2E-order-header
O100086,4017,2024-03-12,2024-03-14,2024-03-15,SHIPPED,2119.9,2024-03-01,E2E-order-header
O100087,9804,2024-03-22,2024-03-25,2024-03-28,NEW,211.23,2024-03-01,E2E-order-header
O100088,5042,2024-03-20,2024-03-23,2024-03-24,DELIVERED,232.56,2024-03-01,E2E-order-header
O100089,9082,2024-03-21,2024-03-24,2024-03-29,SHIPPED,547.9,2024-03-01,E2E-order-header
O100090,2722,2024-03-27,2024-03-29,2024-04-02,DELIVERED,2373.28,2024-03-01,E2E-order-header
O100091,9144,2024-03-13,2024-03-16,2024-03-20,CANCELLED,619.62,2024-03-01,E2E-order-header
O100092,2776,2024-03-09,2024-03-10,2024-03-14,NEW,179.06,2024-03-01,E2E-order-header
O100093,3446,2024-03-15,2024-03-17,2024-03-22,CANCELLED,1303.35,2024-03-01,E2E-order-header
O100094,1374,2024-03-13,2024-03-14,2024-03-17,SHIPPED,2493.13,2024-03-01,E2E-order-header
O100095,9478,2024-03-22,2024-03-25,2024-03-27,DELIVERED,905.32,2024-03-01,E2E-order-header
O100096,682,2024-03-12,2024-03-13,2024-03-15,DELIVERED,404.05,2024-03-01,E2E-order-header
O100097,7079,2024-03-04,2024-03-07,2024-03-10,SHIPPED,208.75,2024-03-01,E2E-order-header
O100098,9155,2024-03-04,2024-03-06,2024-03-07,CANCELLED,688.68,2024-03-01,E2E-order-header
O100099,5751,2024-03-09,2024-03-12,2024-03-15,DELIVERED,1905.33,2024-03-01,E2E-order-header
O100100,4023,2024-03-26,2024-03-28,2024-03-29,SHIPPED,2281.84,2024-03-01,E2E-order-header
O100101,2341,2024-03-12,2024-03-15,2024-03-16,CANCELLED,1678.94,2024-03-01,E2E-order-header
O100102,2377,2024-03-01,2024-03-03,2024-03-07,NEW,172.6,2024-03-01,E2E-order-header
O100103,1448,2024-03-18,2024-03-19,2024-03-21,CANCELLED,1358.99,2024-03-01,E2E-order-header
O100104,7351,2024-03-01,2024-03-02,2024-03-06,SHIPPED,1225.2,2024-03-01,E2E-order-header
O100105,6250,2024-03-18,2024-03-19,2024-03-23,NEW,489.01,2024-03-01,E2E-order-header
O100106,8849,2024-03-04,2024-03-07,2024-03-12,CANCELLED,294.93,2024-03-01,E2E-order-header
O100107,8194,2024-03-04,2024-03-07,2024-03-08,NEW,1224.65,2024-03-01,E2E-order-header
O100108,9780,2024-03-05,2024-03-06,2024-03-11,DELIVERED,1789.78,2024-03-01,E2E-order-header
O100109,7712,2024-03-18,2024-03-19,2024-03-24,SHIPPED,2163.05,2024-03-01,E2E-order-header
O100110,3066,2024-03-21,2024-03-23,2024-03-24,DELIVERED,321.87,2024-03-01,E2E-order-header
O100111,381,2024-03-08,2024-03-11,2024-03-12,DELIVERED,334.74,2024-03-01,E2E-order-header
O100112,40,2024-03-20,2024-03-21,2024-03-24,NEW,1999.19,2024-03-01,E2E-order-header
O100113,8442,2024-03-18,2024-03-20,2024-03-23,CANCELLED,1476.11,2024-03-01,E2E-order-header
O100114,2749,2024-03-24,2024-03-27,2024-03-29,CANCELLED,1559.75,2024-03-01,E2E-order-header
O100115,8896,2024-03-06,2024-03-08,2024-03-10,DELIVERED,2074.57,2024-03-01,E2E-order-header
O100116,6324,2024-03-26,2024-03-28,2024-03-29,NEW,1385.76,2024-03-01,E2E-order-header
O100117,3015,2024-03-13,2024-03-15,2024-03-20,SHIPPED,1170.01,2024-03-01,E2E-order-header
O100118,8064,2024-03-18,2024-03-19,2024-03-20,DELIVERED,552.96,2024-03-01,E2E-order-header
O100119,5391,2024-03-12,2024-03-15,2024-03-19,SHIPPED,34.0,2024-03-01,E2E-order-header
O100120,2654,2024-03-10,2024-03-13,2024-03-17,DELIVERED,1199.49,2024-03-01,E2E-order-header
O100121,5676,2024-03-19,2024-03-20,2024-03-25,DELIVERED,302.09,2024-03-01,E2E-order-header
O100122,7331,2024-03-23,2024-03-24,2024-03-27,NEW,2413.57,2024-03-01,E2E-order-header
O100123,9922,2024-03-21,2024-03-24,2024-03-29,NEW,1916.14,2024-03-01,E2E-order-header
O100124,7099,2024-03-22,2024-03-24,2024-03-28,NEW,801.73,2024-03-01,E2E-order-header
O100125,6997,2024-03-10,2024-03-12,2024-03-14,CANCELLED,754.86,2024-03-01,E2E-order-header
O100126,6828,2024-03-26,2024-03-29,2024-03-30,NEW,103.23,2024-03-01,E2E-order-header
O100127,1643,2024-03-11,2024-03-14,2024-03-19,SHIPPED,654.06,2024-03-01,E2E-order-header
O100128,5106,2024-03-06,2024-03-07,2024-03-10,SHIPPED,1639.37,2024-03-01,E2E-order-header
O100129,7274,2024-03-28,2024-03-29,2024-04-03,SHIPPED,1836.51,2024-03-01,E2E-order-header
O100130,2272,2024-03-16,2024-03-17,2024-03-22,DELIVERED,1632.81,2024-03-01,E2E-order-header
O100131,3372,2024-03-08,2024-03-11,2024-03-14,CANCELLED,2219.3,2024-03-01,E2E-order-header
O100132,6441,2024-03-18,2024-03-20,2024-03-24,CANCELLED,2210.26,2024-03-01,E2E-order-header
O100133,9024,2024-03-17,2024-03-19,2024-03-22,CANCELLED,2498.38,2024-03-01,E2E-order-header
O100134,2537,2024-03-06,2024-03-09,2024-03-12,CANCELLED,1009.13,2024-03-01,E2E-order-header
O100135,1326,2024-03-05,2024-03-06,2024-03-10,DELIVERED,1497.77,2024-03-01,E2E-order-header
O100136,8830,2024-03-22,2024-03-25,2024-03-29,CANCELLED,1567.05,2024-03-01,E2E-order-header
O100137,8638,2024-03-25,2024-03-27,2024-03-31,SHIPPED,2109.5,2024-03-01,E2E-order-header
O100138,1697,2024-03-23,2024-03-26,2024-03-30,SHIPPED,2194.77,2024-03-01,E2E-order-header
O100139,1558,2024-03-19,2024-03-20,2024-03-22,DELIVERED,2395.02,2024-03-01,E2E-order-header
O100140,6070,2024-03-09,2024-03-11,2024-03-13,SHIPPED,114.79,2024-03-01,E2E-order-header
O100141,4920,2024-03-09,2024-03-10,2024-03-13,DELIVERED,2065.82,2024-03-01,E2E-order-header
O100142,38,2024-03-21,2024-03-24,2024-03-27,DELIVERED,1230.16,2024-03-01,E2E-order-header
O100143,4208,2024-03-11,2024-03-12,2024-03-16,CANCELLED,2194.49,2024-03-01,E2E-order-header
O100144,8978,2024-03-18,2024-03-21,2024-03-23,NEW,2244.39,2024-03-01,E2E-order-header
O100145,8476,2024-03-13,2024-03-16,2024-03-19,CANCELLED,865.88,2024-03-01,E2E-order-header
O100146,7112,2024-03-19,2024-03-22,2024-03-24,CANCELLED,1065.79,2024-03-01,E2E-order-header
O100147,4825,2024-03-28,2024-03-30,2024-04-04,SHIPPED,1187.39,2024-03-01,E2E-order-header
O100148,6312,2024-03-02,2024-03-04,2024-03-09,DELIVERED,1642.25,2024-03-01,E2E-order-header
O100149,9760,2024-03-27,2024-03-30,2024-04-03,NEW,2272.0,2024-03-01,E2E-order-header
O100150,4669,2024-03-08,2024-03-10,2024-03-13,DELIVERED,1014.36,2024-03-01,E2E-order-header
O100151,5658,2024-03-13,2024-03-14,2024-03-18,CANCELLED,2108.38,2024-03-01,E2E-order-header
O100152,2632,2024-03-28,2024-03-30,2024-04-01,SHIPPED,180.78,2024-03-01,E2E-order-header
O100153,1437,2024-03-02,2024-03-03,2024-03-04,NEW,1226.38,2024-03-01,E2E-order-header
O100154,6895,2024-03-27,2024-03-28,2024-04-02,CANCELLED,2345.22,2024-03-01,E2E-order-header
O100155,7919,2024-03-28,2024-03-30,2024-04-02,NEW,1358.82,2024-03-01,E2E-order-header
O100156,7852,2024-03-03,2024-03-06,2024-03-11,NEW,2234.34,2024-03-01,E2E-order-header
O100157,7095,2024-03-14,2024-03-17,2024-03-21,CANCELLED,1565.94,2024-03-01,E2E-order-header
O100158,4331,2024-03-28,2024-03-31,2024-04-03,NEW,468.63,2024-03-01,E2E-order-header
O100159,4614,2024-03-23,2024-03-26,2024-03-29,DELIVERED,2059.89,2024-03-01,E2E-order-header
O100160,6463,2024-03-10,2024-03-11,2024-03-12,DELIVERED,1931.05,2024-03-01,E2E-order-header
O100161,6211,2024-03-17,2024-03-20,2024-03-24,SHIPPED,551.51,2024-03-01,E2E-order-header
O100162,8968,2024-03-20,2024-03-21,2024-03-26,DELIVERED,1786.22,2024-03-01,E2E-order-header
O100163,2720,2024-03-14,2024-03-15,2024-03-18,NEW,2001.62,2024-03-01,E2E-order-header
O100164,1439,2024-03-25,2024-03-27,2024-03-30,NEW,52.71,2024-03-01,E2E-order-header
O100165,7195,2024-03-06,2024-03-09,2024-03-14,CANCELLED,1219.56,2024-03-01,E2E-order-header
O100166,6481,2024-03-01,2024-03-02,2024-03-07,NEW,1330.59,2024-03-01,E2E-order-header
O100167,1112,2024-03-14,2024-03-17,2024-03-19,NEW,1936.26,2024-03-01,E2E-order-header
O100168,8438,2024-03-08,2024-03-09,2024-03-12,SHIPPED,2032.95,2024-03-01,E2E-order-header
O100169,1308,2024-03-10,2024-03-13,2024-03-16,NEW,672.61,2024-03-01,E2E-order-header
O100170,1005,2024-03-26,2024-03-28,2024-04-02,DELIVERED,625.52,2024-03-01,E2E-order-header
O100171,9660,2024-03-27,2024-03-29,2024-04-01,SHIPPED,666.34,2024-03-01,E2E-order-header
O100172,728,2024-03-25,2024-03-27,2024-03-31,NEW,1800.9,2024-03-01,E2E-order-header
O100173,5057,2024-03-09,2024-03-10,2024-03-13,CANCELLED,1499.08,2024-03-01,E2E-order-header
O100174,3190,2024-03-07,2024-03-10,2024-03-11,SHIPPED,75.22,2024-03-01,E2E-order-header
O100175,4477,2024-03-17,2024-03-19,2024-03-21,SHIPPED,1288.09,2024-03-01,E2E-order-header
O100176,7161,2024-03-10,2024-03-13,2024-03-17,NEW,1126.12,2024-03-01,E2E-order-header
O100177,2073,2024-03-14,2024-03-17,2024-03-19,NEW,337.38,2024-03-01,E2E-order-header
O100178,5356,2024-03-09,2024-03-11,2024-03-15,DELIVERED,2345.8,2024-03-01,E2E-order-header
O100179,3886,2024-03-21,2024-03-23,2024-03-26,CANCELLED,1810.31,2024-03-01,E2E-order-header
O100180,2579,2024-03-26,2024-03-29,2024-03-30,CANCELLED,265.65,2024-03-01,E2E-order-header
O100181,8938,2024-03-17,2024-03-18,2024-03-20,DELIVERED,1423.12,2024-03-01,E2E-order-header
O100182,6346,2024-03-25,2024-03-26,2024-03-28,NEW,2129.99,2024-03-01,E2E-order-header
O100183,1015,2024-03-28,2024-03-29,2024-04-02,NEW,1268.77,2024-03-01,E2E-order-header
O100184,1864,2024-03-10,2024-03-12,2024-03-17,CANCELLED,1092.19,2024-03-01,E2E-order-header
O100185,6872,2024-03-23,2024-03-25,2024-03-28,NEW,425.64,2024-03-01,E2E-order-header
O100186,4007,2024-03-15,2024-03-18,2024-03-19,CANCELLED,1438.49,2024-03-01,E2E-order-header
O100187,7044,2024-03-26,2024-03-29,2024-04-02,SHIPPED,2410.63,2024-03-01,E2E-order-header
O100188,6388,2024-03-07,2024-03-10,2024-03-14,DELIVERED,2248.9,2024-03-01,E2E-order-header
O100189,7835,2024-03-14,2024-03-16,2024-03-20,DELIVERED,1928.34,2024-03-01,E2E-order-header
O100190,1857,2024-03-28,2024-03-30,2024-04-01,NEW,1784.3,2024-03-01,E2E-order-header
O100191,652,2024-03-05,2024-03-07,2024-03-09,DELIVERED,2151.88,2024-03-01,E2E-order-header
O100192,2410,2024-03-16,2024-03-19,2024-03-22,DELIVERED,240.72,2024-03-01,E2E-order-header
O100193,1432,2024-03-15,2024-03-16,2024-03-17,NEW,293.66,2024-03-01,E2E-order-header
O100194,4847,2024-03-26,2024-03-28,2024-03-30,CANCELLED,58.64,2024-03-01,E2E-order-header
O100195,3841,2024-03-10,2024-03-11,2024-03-14,SHIPPED,1179.02,2024-03-01,E2E-order-header
O100196,128,2024-03-23,2024-03-26,2024-03-27,CANCELLED,263.12,2024-03-01,E2E-order-header
O100197,5908,2024-03-13,2024-03-16,2024-03-18,CANCELLED,431.95,2024-03-01,E2E-order-header
O100198,2502,2024-03-10,2024-03-13,2024-03-16,CANCELLED,2008.15,2024-03-01,E2E-order-header
O100199,8973,2024-03-28,2024-03-31,2024-04-05,DELIVERED,1371.23,2024-03-01,E2E-order-header
O100200,2010,2024-03-13,2024-03-16,2024-03-17,SHIPPED,1061.69,2024-03-01,E2E-order-header
O100201,2553,2024-03-19,2024-03-20,2024-03-23,NEW,1066.53,2024-03-01,E2E-order-header
O100202,2329,2024-03-20,2024-03-23,2024-03-26,SHIPPED,1556.36,2024-03-01,E2E-order-header
O100203,8652,2024-03-27,2024-03-28,2024-03-31,DELIVERED,1085.76,2024-03-01,E2E-order-header
O100204,6472,2024-03-09,2024-03-10,2024-03-12,CANCELLED,1336.95,2024-03-01,E2E-order-header
O100205,6414,2024-03-17,2024-03-19,2024-03-21,CANCELLED,700.39,2024-03-01,E2E-order-header
O100206,8178,2024-03-21,2024-03-22,2024-03-26,CANCELLED,1151.73,2024-03-01,E2E-order-header
O100207,8599,2024-03-16,2024-03-17,2024-03-19,NEW,1942.83,2024-03-01,E2E-order-header
O100208,7641,2024-03-11,2024-03-14,2024-03-16,SHIPPED,422.67,2024-03-01,E2E-order-header
O100209,2130,2024-03-17,2024-03-19,2024-03-20,CANCELLED,617.44,2024-03-01,E2E-order-header
O100210,446,2024-03-12,2024-03-15,2024-03-19,DELIVERED,468.4,2024-03-01,E2E-order-header
O100211,9020,2024-03-12,2024-03-14,2024-03-18,DELIVERED,195.23,2024-03-01,E2E-order-header
O100212,6626,2024-03-04,2024-03-05,2024-03-07,SHIPPED,2382.45,2024-03-01,E2E-order-header
O100213,7575,2024-03-18,2024-03-21,2024-03-26,SHIPPED,468.46,2024-03-01,E2E-order-header
O100214,5415,2024-03-21,2024-03-23,2024-03-24,DELIVERED,1264.83,2024-03-01,E2E-order-header
O100215,3652,2024-03-19,2024-03-22,2024-03-24,NEW,2401.46,2024-03-01,E2E-order-header
O100216,3672,2024-03-16,2024-03-18,2024-03-23,SHIPPED,448.16,2024-03-01,E2E-order-header
O100217,3359,2024-03-06,2024-03-09,2024-03-12,DELIVERED,2267.56,2024-03-01,E2E-order-header
O100218,3578,2024-03-10,2024-03-12,2024-03-17,CANCELLED,189.14,2024-03-01,E2E-order-header
O100219,6153,2024-03-06,2024-03-07,2024-03-08,SHIPPED,1596.44,2024-03-01,E2E-order-header
O100220,7849,2024-03-15,2024-03-17,2024-03-19,DELIVERED,1784.58,2024-03-01,E2E-order-header
O100221,584,2024-03-18,2024-03-21,2024-03-24,SHIPPED,198.35,2024-03-01,E2E-order-header
O100222,4869,2024-03-25,2024-03-26,2024-03-28,DELIVERED,1822.94,2024-03-01,E2E-order-header
O100223,766,2024-03-09,2024-03-11,2024-03-14,CANCELLED,567.26,2024-03-01,E2E-order-header
O100224,6912,2024-03-16,2024-03-17,2024-03-22,SHIPPED,1268.43,2024-03-01,E2E-order-header
O100225,7421,2024-03-02,2024-03-04,2024-03-07,SHIPPED,145.62,2024-03-01,E2E-order-header
O100226,6011,2024-03-11,2024-03-12,2024-03-16,DELIVERED,909.74,2024-03-01,E2E-order-header
O100227,5076,2024-03-22,2024-03-24,2024-03-29,DELIVERED,1171.28,2024-03-01,E2E-order-header
O100228,6918,2024-03-04,2024-03-05,2024-03-08,NEW,1491.92,2024-03-01,E2E-order-header
O100229,3212,2024-03-01,2024-03-04,2024-03-08,SHIPPED,2315.36,2024-03-01,E2E-order-header
O100230,2821,2024-03-28,2024-03-29,2024-03-31,NEW,1213.21,2024-03-01,E2E-order-header
O100231,5908,2024-03-18,2024-03-19,2024-03-23,CANCELLED,2002.1,2024-03-01,E2E-order-header
O100232,4941,2024-03-21,2024-03-24,2024-03-25,SHIPPED,753.97,2024-03-01,E2E-order-header
O100233,6965,2024-03-18,2024-03-20,2024-03-21,CANCELLED,453.61,2024-03-01,E2E-order-header
O100234,423,2024-03-14,2024-03-15,2024-03-16,NEW,809.75,2024-03-01,E2E-order-header
O100235,9942,2024-03-26,2024-03-28,2024-04-01,NEW,1564.24,2024-03-01,E2E-order-header
O100236,4316,2024-03-12,2024-03-15,2024-03-18,CANCELLED,470.6,2024-03-01,E2E-order-header
O100237,9543,2024-03-24,2024-03-27,2024-03-31,NEW,1822.01,2024-03-01,E2E-order-header
O100238,6984,2024-03-09,2024-03-11,2024-03-14,CANCELLED,484.24,2024-03-01,E2E-order-header
O100239,9735,2024-03-18,2024-03-20,2024-03-22,DELIVERED,840.15,2024-03-01,E2E-order-header
O100240,2271,2024-03-18,2024-03-20,2024-03-24,NEW,2453.73,2024-03-01,E2E-order-header
O100241,10027,2024-03-13,2024-03-14,2024-03-18,CANCELLED,1246.87,2024-03-01,E2E-order-header
O100242,9812,2024-03-21,2024-03-22,2024-03-27,NEW,1829.82,2024-03-01,E2E-order-header
O100243,7703,2024-03-12,2024-03-15,2024-03-20,CANCELLED,1046.95,2024-03-01,E2E-order-header
O100244,7664,2024-03-14,2024-03-17,2024-03-21,DELIVERED,1955.81,2024-03-01,E2E-order-header
O100245,3688,2024-03-16,2024-03-19,2024-03-21,CANCELLED,636.83,2024-03-01,E2E-order-header
O100246,5816,2024-03-17,2024-03-18,2024-03-23,CANCELLED,2244.48,2024-03-01,E2E-order-header
O100247,5829,2024-03-08,2024-03-11,2024-03-14,DELIVERED,1047.91,2024-03-01,E2E-order-header
O100248,2137,2024-03-03,2024-03-05,2024-03-09,SHIPPED,2475.45,2024-03-01,E2E-order-header
O100249,2601,2024-03-19,2024-03-20,2024-03-22,SHIPPED,616.24,2024-03-01,E2E-order-header
O100250,8119,2024-03-27,2024-03-29,2024-04-03,NEW,645.01,2024-03-01,E2E-order-header
O100251,4237,2024-03-06,2024-03-09,2024-03-10,CANCELLED,1166.87,2024-03-01,E2E-order-header
O100252,8697,2024-03-03,2024-03-05,2024-03-07,CANCELLED,2463.28,2024-03-01,E2E-order-header
O100253,4221,2024-03-26,2024-03-29,2024-03-31,DELIVERED,2139.46,2024-03-01,E2E-order-header
O100254,1000,2024-03-18,2024-03-20,2024-03-24,CANCELLED,770.67,2024-03-01,E2E-order-header
O100255,9296,2024-03-15,2024-03-18,2024-03-23,CANCELLED,1814.75,2024-03-01,E2E-order-header
O100256,8772,2024-03-26,2024-03-27,2024-04-01,DELIVERED,722.29,2024-03-01,E2E-order-header
O100257,5086,2024-03-14,2024-03-15,2024-03-16,NEW,1385.25,2024-03-01,E2E-order-header
O100258,1875,2024-03-19,2024-03-20,2024-03-25,NEW,2362.86,2024-03-01,E2E-order-header
